policy,seed,cost_usd,violation_rate,total_lateness_seconds,credit_exhaustions,throttled_vm_hours,robust_bound_evaluations,robust_bound_exceedances,bound_exceedance_rate,migrations,scheduler_runtime_seconds,maximum_vms,makespan_seconds,note
"UBR-CA no migration",20260703,147.818750,0.000000,0.000000,245,90.719065,23651,4080,0.172509,0,1.407490,141,1253509.770501,""
"UBR-CA no Bayesian",20260703,151.137500,0.000000,0.000000,92,1.905757,24182,17975,0.743321,1230,1.372377,147,1254409.770501,""
"UBR-CA no migration",20268622,147.343750,0.000000,0.000000,228,84.137327,23575,4150,0.176034,0,0.942135,138,1323085.382602,""
"UBR-CA no Bayesian",20268622,151.612500,0.000000,0.000000,95,1.758082,24258,18040,0.743672,1158,1.083038,138,1322185.382602,""
"UBR-CA no migration",20276541,151.443750,0.000000,0.000000,252,92.146464,24231,4242,0.175065,0,1.543801,141,1354788.901899,""
"UBR-CA no Bayesian",20276541,152.825000,0.000000,0.000000,90,2.079085,24452,18472,0.755439,1124,1.962517,142,1354488.901899,""
"UBR-CA no migration",20284460,147.462500,0.000000,0.000000,269,100.471038,23594,4081,0.172968,0,1.573385,131,1366272.916403,""
"UBR-CA no Bayesian",20284460,151.881250,0.000000,0.000000,91,2.053818,24301,17996,0.740546,1109,1.404792,138,1363272.916403,""
"UBR-CA no migration",20292379,143.650000,0.000000,0.000000,223,82.216455,22984,4052,0.176297,0,1.109008,121,1227941.175380,""
"UBR-CA no Bayesian",20292379,147.350000,0.000000,0.000000,80,1.721896,23576,17753,0.753012,975,1.511064,124,1227041.175380,""
"UBR-CA no migration",20300298,143.925000,0.000000,0.000000,230,77.648742,23028,4061,0.176351,0,1.152933,128,1243834.069832,""
"UBR-CA no Bayesian",20300298,150.756250,0.000000,0.000000,78,1.572470,24121,17722,0.734712,1084,1.037829,137,1242334.069832,""
"UBR-CA no migration",20308217,147.356250,0.000000,0.000000,253,92.503130,23577,4287,0.181830,0,1.122834,133,1360628.349201,""
"UBR-CA no Bayesian",20308217,150.743750,0.000000,0.000000,95,1.934802,24119,18016,0.746963,1184,1.148527,141,1360328.349201,""
"UBR-CA no migration",20316136,140.575000,0.000000,0.000000,249,91.933952,22492,4050,0.180064,0,1.190296,137,1252670.112804,""
"UBR-CA no Bayesian",20316136,145.500000,0.000000,0.000000,92,1.849698,23280,17250,0.740979,1164,1.128371,140,1252670.112804,""
"UBR-CA no migration",20324055,146.931250,0.000000,0.000000,251,94.245826,23509,4199,0.178612,0,1.451713,146,1307338.385066,""
"UBR-CA no Bayesian",20324055,149.975000,0.000000,0.000000,101,2.192858,23996,17956,0.748291,1284,1.537842,149,1306438.385066,""
"UBR-CA no migration",20331974,144.512500,0.000000,0.000000,250,93.756547,23122,4105,0.177537,0,1.927569,132,1317394.870937,""
"UBR-CA no Bayesian",20331974,147.650000,0.000000,0.000000,98,1.921194,23624,17701,0.749280,1107,6.001753,137,1317094.870937,""
"UBR-CA no migration",20339893,143.662500,0.000000,0.000000,239,87.973913,22986,4188,0.182198,0,3.717539,140,1207364.114896,""
"UBR-CA no Bayesian",20339893,150.037500,0.000000,0.000000,108,2.012610,24006,17857,0.743856,1251,2.975286,147,1207364.114896,""
"UBR-CA no migration",20347812,144.487500,0.000000,0.000000,251,89.910197,23118,4134,0.178822,0,2.514313,140,1253901.513095,""
"UBR-CA no Bayesian",20347812,147.993750,0.000000,0.000000,105,2.183235,23679,17602,0.743359,1211,1.452002,144,1254201.513095,""
"UBR-CA no migration",20355731,147.637500,0.000000,0.000000,217,85.760980,23622,4179,0.176911,0,1.549134,134,1330258.119824,""
"UBR-CA no Bayesian",20355731,152.850000,0.000000,0.000000,75,1.768528,24456,18226,0.745257,1135,1.381804,138,1330258.119824,""
"UBR-CA no migration",20363650,144.706250,0.000000,0.000000,233,82.320583,23153,4114,0.177688,0,1.337406,139,1307809.623310,""
"UBR-CA no Bayesian",20363650,149.006250,0.000000,0.000000,97,1.959864,23841,17849,0.748668,1233,1.517318,143,1308709.623310,""
"UBR-CA no migration",20371569,147.050000,0.000000,0.000000,246,88.319451,23528,4194,0.178256,0,1.362923,132,1210346.476495,""
"UBR-CA no Bayesian",20371569,150.293750,0.000000,0.000000,101,1.954242,24047,18195,0.756643,1135,1.297119,137,1210046.476495,""
"UBR-CA no migration",20379488,148.693750,0.000000,0.000000,242,88.889049,23791,4170,0.175276,0,1.243123,136,1265282.043709,""
"UBR-CA no Bayesian",20379488,153.318750,0.000000,0.000000,94,1.952535,24531,18286,0.745424,1216,1.145061,144,1264982.043709,""
"UBR-CA no migration",20387407,146.706250,0.000000,0.000000,243,90.694394,23473,4153,0.176927,0,1.384844,133,1294764.204825,""
"UBR-CA no Bayesian",20387407,149.187500,0.000000,0.000000,85,1.669457,23870,17877,0.748932,1083,1.097125,138,1294464.204825,""
"UBR-CA no migration",20395326,148.068750,0.000000,0.000000,245,92.449602,23691,4240,0.178971,0,1.106015,143,1332171.253632,""
"UBR-CA no Bayesian",20395326,153.106250,0.000000,0.000000,100,2.352697,24497,18149,0.740866,1226,1.085426,149,1332471.253632,""
"UBR-CA no migration",20403245,145.218750,0.000000,0.000000,236,82.914660,23235,4123,0.177448,0,1.101688,135,1246813.517478,""
"UBR-CA no Bayesian",20403245,149.875000,0.000000,0.000000,82,1.604730,23980,17899,0.746414,1090,1.244431,135,1247113.517478,""
"UBR-CA no migration",20411164,146.937500,0.000000,0.000000,254,93.460097,23510,4277,0.181923,0,1.178545,140,1323301.036639,""
"UBR-CA no Bayesian",20411164,151.612500,0.000000,0.000000,100,2.214760,24258,18056,0.744332,1226,1.370233,145,1323901.036639,""
