policy,seed,time_seconds,time_hours,minimum,mean,maximum
"UBR-CA",20260703,0.000000,0.000000,31.311692,38.513319,52.000000
"UBR-CA",20260703,300.000000,0.083333,21.227187,27.798291,37.960512
"UBR-CA",20260703,600.000000,0.166667,15.750277,21.567159,26.663642
"UBR-CA",20260703,900.000000,0.250000,16.395391,22.568633,34.194686
"UBR-CA",20260703,1200.000000,0.333333,11.681926,24.311394,52.000000
"UBR-CA",20260703,1500.000000,0.416667,7.733985,29.155922,51.425020
"UBR-CA",20260703,1800.000000,0.500000,11.427882,25.598519,52.000000
"UBR-CA",20260703,2100.000000,0.583333,6.188191,17.477380,34.066925
"UBR-CA",20260703,2400.000000,0.666667,7.889569,18.143610,35.018096
"UBR-CA",20260703,2700.000000,0.750000,6.141979,17.821060,43.297877
"UBR-CA",20260703,3000.000000,0.833333,6.850889,17.625763,44.116285
"UBR-CA",20260703,3300.000000,0.916667,6.277503,20.182234,47.182111
"UBR-CA",20260703,3600.000000,1.000000,8.488442,20.736554,51.346279
"UBR-CA",20260703,3900.000000,1.083333,9.178467,17.774028,41.480042
"UBR-CA",20260703,4200.000000,1.166667,2.230292,15.665088,31.676401
"UBR-CA",20260703,4500.000000,1.250000,5.781324,15.758334,38.775744
"UBR-CA",20260703,4800.000000,1.333333,5.134175,16.141927,30.577293
"UBR-CA",20260703,5100.000000,1.416667,4.886085,17.879996,46.557684
"UBR-CA",20260703,5400.000000,1.500000,8.231281,17.846320,37.298596
"UBR-CA",20260703,5700.000000,1.583333,6.111192,16.404920,51.169339
"UBR-CA",20260703,6000.000000,1.666667,8.210352,16.390471,39.853718
"UBR-CA",20260703,6300.000000,1.750000,6.703390,16.191889,40.696757
"UBR-CA",20260703,6600.000000,1.833333,8.984255,16.504614,44.298098
"UBR-CA",20260703,6900.000000,1.916667,10.008981,18.379216,52.000000
"UBR-CA",20260703,7200.000000,2.000000,7.727172,16.657059,38.462812
"UBR-CA",20260703,7500.000000,2.083333,7.367859,16.066405,50.808890
"UBR-CA",20260703,7800.000000,2.166667,7.475925,17.238356,50.995258
"UBR-CA",20260703,8100.000000,2.250000,2.582383,16.044447,50.798724
"UBR-CA",20260703,8400.000000,2.333333,0.364733,15.484664,36.256261
"UBR-CA",20260703,8700.000000,2.416667,4.239438,17.970955,37.623450
"UBR-CA",20260703,9000.000000,2.500000,7.870378,17.232500,43.478527
"UBR-CA",20260703,9300.000000,2.583333,6.575191,15.580616,38.278306
"UBR-CA",20260703,9600.000000,2.666667,6.833597,16.477940,46.662579
