policy,seed,cost_usd,violation_rate,total_lateness_seconds,credit_exhaustions,throttled_vm_hours,robust_bound_evaluations,robust_bound_exceedances,bound_exceedance_rate,migrations,scheduler_runtime_seconds,maximum_vms,makespan_seconds,note
"HEFT",20260703,145.581250,0.500000,237936.975302,716,796.846351,23293,20317,0.872236,0,1.782553,51,1421509.770501,""
"KRP",20260703,162.500000,1.000000,33317211.613281,66,1717.039769,26000,24565,0.944808,0,3.171938,50,3985309.770501,""
"EA-VC",20260703,162.500000,1.000000,33317211.613281,66,1717.039769,26000,24565,0.944808,0,3.176473,50,3985309.770501,""
"CCS",20260703,170.631250,1.000000,20235397.604268,78,1499.864717,27301,19987,0.732098,0,2.152654,56,3322309.770501,""
"CARS",20260703,149.487500,0.000000,0.000000,182,3.431203,23918,17955,0.750690,1906,1.659462,144,1254109.770501,""
"UBR-CA",20260703,151.956250,0.000000,0.000000,1,0.000745,24313,3983,0.163822,840,1.514508,147,1253809.770501,""
"HEFT",20268622,149.031250,1.000000,3717096.652310,214,1127.595217,23845,21827,0.915370,0,1.518688,54,2012785.382602,""
"KRP",20268622,162.662500,1.000000,32935965.550889,59,1690.555961,26026,24464,0.939983,0,3.673185,53,4018885.382602,""
"EA-VC",20268622,162.662500,1.000000,32935965.550889,59,1690.555961,26026,24464,0.939983,0,4.402343,53,4018885.382602,""
"CCS",20268622,171.718750,1.000000,20538000.474713,83,1487.647034,27475,20042,0.729463,0,2.269983,57,3375985.382602,""
"CARS",20268622,150.131250,0.000000,0.000000,170,3.005679,24021,17985,0.748720,1817,1.166273,136,1322485.382602,""
"UBR-CA",20268622,152.375000,0.000000,0.000000,4,0.101473,24380,3979,0.163208,835,1.188082,137,1323085.382602,""
"HEFT",20276541,150.862500,0.900000,1421068.619962,390,1037.317646,24138,21791,0.902767,0,2.007797,55,1918188.901899,""
"KRP",20276541,164.562500,1.000000,32867164.314903,69,1736.199710,26330,24980,0.948728,0,3.467993,52,4096188.901899,""
"EA-VC",20276541,164.562500,1.000000,32867164.314903,69,1736.199710,26330,24980,0.948728,0,3.750437,52,4096188.901899,""
"CCS",20276541,174.012500,1.000000,20114157.063527,92,1522.083351,27842,20342,0.730623,0,3.068666,61,3420288.901899,""
"CARS",20276541,155.662500,0.000000,0.000000,160,2.897075,24906,18702,0.750903,1699,1.506036,145,1355088.901899,""
"UBR-CA",20276541,155.912500,0.000000,0.000000,0,0.000000,24946,4098,0.164275,776,1.641125,146,1354788.901899,""
"HEFT",20284460,147.700000,0.900000,777456.839937,489,1001.252591,23632,21059,0.891122,0,1.643897,55,1868172.916403,""
"KRP",20284460,163.512500,1.000000,33647011.066341,62,1694.330276,26162,24497,0.936358,0,4.365814,55,4125672.916403,""
"EA-VC",20284460,163.512500,1.000000,33647011.066341,62,1694.330276,26162,24497,0.936358,0,3.710913,55,4125672.916403,""
"CCS",20284460,171.906250,1.000000,20395690.543216,81,1469.642175,27505,19777,0.719033,0,2.860494,61,3402972.916403,""
"CARS",20284460,151.193750,0.000000,0.000000,161,3.138272,24191,18015,0.744698,1707,1.224227,134,1363872.916403,""
"UBR-CA",20284460,152.268750,0.000000,0.000000,4,0.051130,24363,4057,0.166523,849,1.438092,135,1362972.916403,""
"HEFT",20292379,143.443750,0.500000,239857.368425,821,846.634665,22951,20215,0.880790,0,1.568282,49,1439441.175380,""
"KRP",20292379,162.700000,1.000000,35202983.377027,62,1699.286709,26032,24469,0.939959,0,5.058405,47,4075541.175380,""
"EA-VC",20292379,162.700000,1.000000,35202983.377027,62,1699.286709,26032,24469,0.939959,0,5.521512,47,4075541.175380,""
"CCS",20292379,171.506250,1.000000,21282701.372367,74,1476.579334,27441,19777,0.720710,0,4.269908,53,3370541.175380,""
"CARS",20292379,145.200000,0.000000,0.000000,163,3.132464,23232,17593,0.757274,1643,1.986431,121,1227941.175380,""
"UBR-CA",20292379,147.537500,0.000000,0.000000,0,0.000000,23606,3865,0.163730,680,1.759131,124,1227041.175380,""
"HEFT",20300298,142.650000,0.500000,187009.718855,691,790.555048,22824,19885,0.871232,0,2.068027,53,1454134.069832,""
"KRP",20300298,159.500000,1.000000,32615197.748392,66,1676.205444,25520,24060,0.942790,0,6.069567,51,3907534.069832,""
"EA-VC",20300298,159.500000,1.000000,32615197.748392,66,1676.205444,25520,24060,0.942790,0,5.845680,51,3907534.069832,""
"CCS",20300298,167.812500,1.000000,19593482.388976,70,1469.266582,26850,19470,0.725140,0,2.858392,59,3224734.069832,""
"CARS",20300298,147.962500,0.000000,0.000000,175,3.419703,23674,17577,0.742460,1760,1.242483,134,1243234.069832,""
"UBR-CA",20300298,151.481250,0.000000,0.000000,1,0.000221,24237,3946,0.162809,703,1.173385,137,1242634.069832,""
"HEFT",20308217,145.237500,0.500000,196714.047173,636,926.398264,23238,20654,0.888803,0,1.753523,51,1758128.349201,""
"KRP",20308217,162.318750,1.000000,32294257.036826,73,1679.724971,25971,24433,0.940780,0,3.741768,49,4023428.349201,""
"EA-VC",20308217,162.318750,1.000000,32294257.036826,73,1679.724971,25971,24433,0.940780,0,3.505915,49,4023428.349201,""
"CCS",20308217,170.637500,1.000000,20013908.143878,86,1484.206855,27302,19834,0.726467,0,3.652035,56,3391628.349201,""
"CARS",20308217,151.425000,0.000000,0.000000,171,3.504141,24228,18110,0.747482,1744,1.117537,139,1360328.349201,""
"UBR-CA",20308217,151.775000,0.000000,0.000000,4,0.024900,24284,4000,0.164718,799,1.284128,142,1360328.349201,""
"HEFT",20316136,141.062500,0.500000,202656.630973,765,796.246423,22570,19692,0.872486,0,1.071294,52,1442270.112804,""
"KRP",20316136,157.200000,1.000000,29439006.600289,61,1641.422776,25152,23650,0.940283,0,2.970297,50,3699170.112804,""
"EA-VC",20316136,157.200000,1.000000,29439006.600289,61,1641.422776,25152,23650,0.940283,0,3.667151,50,3699170.112804,""
"CCS",20316136,165.525000,1.000000,18244687.991549,83,1455.738783,26484,19385,0.731951,0,3.249143,57,3148370.112804,""
"CARS",20316136,146.475000,0.000000,0.000000,158,3.048009,23436,17338,0.739802,1731,1.314449,141,1252670.112804,""
"UBR-CA",20316136,146.931250,0.000000,0.000000,2,0.023717,23509,3942,0.167680,822,1.412535,141,1252970.112804,""
"HEFT",20324055,146.406250,0.500000,211822.383688,664,766.762897,23425,20199,0.862284,0,1.621386,54,1473538.385066,""
