parameter,value,seed,cost_usd,violation_rate,total_lateness_seconds,credit_exhaustions,throttled_vm_hours,robust_bound_evaluations,robust_bound_exceedances,bound_exceedance_rate,migrations,scheduler_runtime_seconds,maximum_vms,makespan_seconds
interval_seconds,60,20260703,163.592500,0.000000,0.000000,187,8.620847,130874,22548,0.172288,3533,6.794831,169,1180129.770501
interval_seconds,60,20268622,164.168750,0.000000,0.000000,196,8.927579,131335,22597,0.172056,3482,7.695218,173,1253005.382602
interval_seconds,60,20276541,167.743750,0.000000,0.000000,247,9.113176,134195,23258,0.173315,4110,7.733219,177,1274088.901899
interval_seconds,60,20284460,167.370000,0.000000,0.000000,227,9.519065,133896,22814,0.170386,4001,7.851034,183,1291212.916403
interval_seconds,60,20292379,158.640000,0.000000,0.000000,199,8.468548,126912,22238,0.175224,3554,7.332982,157,1157981.175380
interval_seconds,60,20300298,163.577500,0.000000,0.000000,180,8.233110,130862,22225,0.169835,3639,9.606463,168,1170934.069832
interval_seconds,60,20308217,163.486250,0.000000,0.000000,198,8.915567,130789,22436,0.171543,3541,10.470242,165,1278908.349201
interval_seconds,60,20316136,173.673750,0.000000,0.000000,198,8.175684,138939,22756,0.163784,3577,8.284222,169,1183730.112804
interval_seconds,60,20324055,167.876250,0.000000,0.000000,220,9.098994,134301,22699,0.169016,4101,9.500624,174,1231738.385066
interval_seconds,60,20331974,161.545000,0.000000,0.000000,207,9.028517,129236,22232,0.172026,4018,7.431645,172,1238434.870937
interval_seconds,60,20339893,165.277500,0.000000,0.000000,244,9.861979,132222,22727,0.171885,4334,7.482846,174,1142144.114896
interval_seconds,60,20347812,161.745000,0.000000,0.000000,204,9.077073,129396,22069,0.170554,3415,5.819931,169,1177641.513095
interval_seconds,60,20355731,169.327500,0.000000,0.000000,214,9.173580,135462,22848,0.168667,3630,7.390826,164,1254778.119824
interval_seconds,60,20363650,162.071250,0.000000,0.000000,210,9.627318,129657,22529,0.173758,3997,8.361286,167,1231609.623310
interval_seconds,60,20371569,165.920000,0.000000,0.000000,202,9.391714,132736,22787,0.171672,3507,9.406874,176,1140686.476495
interval_seconds,60,20379488,167.695000,0.000000,0.000000,195,7.979947,134156,22951,0.171077,3568,7.569188,167,1192202.043709
interval_seconds,60,20387407,160.812500,0.000000,0.000000,211,9.002817,128650,22220,0.172717,3553,7.698570,170,1222704.204825
interval_seconds,60,20395326,165.187500,0.000000,0.000000,212,9.575441,132150,22600,0.171018,3683,6.775426,171,1258671.253632
interval_seconds,60,20403245,166.937500,0.000000,0.000000,193,8.753949,133550,22503,0.168499,3460,6.263683,168,1172653.517478
interval_seconds,60,20411164,158.925000,0.000000,0.000000,200,9.467310,127140,22320,0.175555,3836,6.581086,172,1249801.036639
interval_seconds,300,20260703,151.956250,0.000000,0.000000,1,0.000745,24313,3983,0.163822,840,1.689773,147,1253809.770501
interval_seconds,300,20268622,152.375000,0.000000,0.000000,4,0.101473,24380,3979,0.163208,835,1.684234,137,1323085.382602
interval_seconds,300,20276541,155.912500,0.000000,0.000000,0,0.000000,24946,4098,0.164275,776,1.743846,146,1354788.901899
interval_seconds,300,20284460,152.268750,0.000000,0.000000,4,0.051130,24363,4057,0.166523,849,1.374483,135,1362972.916403
interval_seconds,300,20292379,147.537500,0.000000,0.000000,0,0.000000,23606,3865,0.163730,680,1.840599,124,1227041.175380
interval_seconds,300,20300298,151.481250,0.000000,0.000000,1,0.000221,24237,3946,0.162809,703,3.586470,137,1242634.069832
interval_seconds,300,20308217,151.775000,0.000000,0.000000,4,0.024900,24284,4000,0.164718,799,2.416953,142,1360328.349201
interval_seconds,300,20316136,146.931250,0.000000,0.000000,2,0.023717,23509,3942,0.167680,822,2.269959,141,1252970.112804
interval_seconds,300,20324055,152.068750,0.000000,0.000000,0,0.000000,24331,3961,0.162796,856,2.429451,147,1306738.385066
interval_seconds,300,20331974,149.056250,0.000000,0.000000,1,0.006086,23849,3929,0.164745,815,4.044711,138,1316794.870937
interval_seconds,300,20339893,149.912500,0.000000,0.000000,3,0.030440,23986,3980,0.165930,776,6.403607,149,1207364.114896
interval_seconds,300,20347812,149.631250,0.000000,0.000000,1,0.001507,23941,3909,0.163276,803,4.249347,148,1253901.513095
interval_seconds,300,20355731,152.662500,0.000000,0.000000,1,0.003435,24426,4026,0.164824,814,2.005343,139,1330258.119824
interval_seconds,300,20363650,149.793750,0.000000,0.000000,1,0.032097,23967,3962,0.165311,760,1.584502,145,1307809.623310
interval_seconds,300,20371569,153.193750,0.000000,0.000000,3,0.057966,24511,4027,0.164294,773,1.745671,140,1210046.476495
interval_seconds,300,20379488,154.425000,0.000000,0.000000,1,0.008511,24708,4044,0.163672,757,2.298191,146,1264982.043709
interval_seconds,300,20387407,151.818750,0.000000,0.000000,0,0.000000,24291,4001,0.164711,737,2.011658,138,1294764.204825
interval_seconds,300,20395326,154.362500,0.000000,0.000000,1,0.004984,24698,4144,0.167787,804,3.382851,151,1332771.253632
interval_seconds,300,20403245,148.781250,0.000000,0.000000,0,0.000000,23805,3886,0.163243,747,2.148416,133,1246513.517478
interval_seconds,300,20411164,151.893750,0.000000,0.000000,1,0.015925,24303,4025,0.165617,802,4.128722,147,1323301.036639
interval_seconds,900,20260703,161.193750,0.000000,0.000000,0,0.000000,8597,1060,0.123299,1,2.144605,89,1435609.770501
interval_seconds,900,20268622,160.556250,0.000000,0.000000,0,0.000000,8563,1112,0.129861,6,2.402892,89,1490485.382602
interval_seconds,900,20276541,164.643750,0.000000,0.000000,0,0.000000,8781,1092,0.124359,3,1.962496,93,1539288.901899
interval_seconds,900,20284460,161.625000,0.000000,0.000000,0,0.000000,8620,1126,0.130626,1,1.561504,91,1529772.916403
interval_seconds,900,20292379,157.987500,0.000000,0.000000,0,0.000000,8426,1065,0.126394,5,2.117420,86,1380041.175380
interval_seconds,900,20300298,158.700000,0.000000,0.000000,0,0.000000,8464,1070,0.126418,4,1.746258,91,1416634.069832
interval_seconds,900,20308217,160.800000,0.000000,0.000000,0,0.000000,8576,1105,0.128848,9,1.274661,88,1538828.349201
interval_seconds,900,20316136,155.587500,0.000000,0.000000,0,0.000000,8298,1090,0.131357,8,1.583513,99,1412570.112804
interval_seconds,900,20324055,160.556250,0.000000,0.000000,0,0.000000,8563,1137,0.132781,2,0.993347,93,1478638.385066
interval_seconds,900,20331974,158.943750,0.000000,0.000000,0,0.000000,8477,1059,0.124926,6,1.183331,91,1485994.870937
interval_seconds,900,20339893,159.918750,0.000000,0.000000,0,0.000000,8529,1072,0.125689,6,1.125303,93,1362164.114896
interval_seconds,900,20347812,157.968750,0.000000,0.000000,0,0.000000,8425,1061,0.125935,7,0.879214,96,1433301.513095
interval_seconds,900,20355731,163.593750,0.000000,0.000000,0,0.000000,8725,1142,0.130888,10,1.031402,86,1522558.119824
interval_seconds,900,20363650,159.112500,0.000000,0.000000,0,0.000000,8486,1107,0.130450,12,1.410881,106,1475593.563635
interval_seconds,900,20371569,161.493750,0.000000,0.000000,0,0.000000,8613,1091,0.126669,11,1.886695,90,1383446.476495
interval_seconds,900,20379488,162.093750,0.000000,0.000000,0,0.000000,8645,1108,0.128167,9,1.860601,101,1419482.043709
interval_seconds,900,20387407,159.000000,0.000000,0.000000,0,0.000000,8480,1022,0.120519,10,1.221561,95,1464264.204825
interval_seconds,900,20395326,162.431250,0.000000,0.000000,0,0.000000,8663,1112,0.128362,12,1.521693,93,1512171.253632
interval_seconds,900,20403245,158.325000,0.000000,0.000000,0,0.000000,8444,1108,0.131217,11,2.198856,92,1414813.517478
interval_seconds,900,20411164,161.606250,0.000000,0.000000,0,0.000000,8619,1152,0.133658,9,2.110584,98,1500001.036639
lookahead_H,1,20260703,149.656250,0.000000,0.000000,193,4.512750,23945,4047,0.169012,3625,3.482394,142,1253809.770501
lookahead_H,1,20268622,149.468750,0.000000,0.000000,199,4.301200,23915,4038,0.168848,3540,3.780742,131,1323985.382602
lookahead_H,1,20276541,151.462500,0.000000,0.000000,176,4.131844,24234,4036,0.166543,3288,2.503200,141,1354488.901899
lookahead_H,1,20284460,147.687500,0.000000,0.000000,199,4.450090,23630,3943,0.166864,3900,3.164702,129,1364172.916403
lookahead_H,1,20292379,146.418750,0.000000,0.000000,171,4.180989,23427,3959,0.168993,3337,2.351310,121,1229141.175380
lookahead_H,1,20300298,149.350000,0.000000,0.000000,188,4.421952,23896,4017,0.168103,3186,2.134428,130,1242634.069832
lookahead_H,1,20308217,150.762500,0.000000,0.000000,196,4.138034,24122,4026,0.166902,3661,2.871853,129,1360928.349201
lookahead_H,1,20316136,143.143750,0.000000,0.000000,192,4.204416,22903,3837,0.167533,3616,2.349183,137,1253870.112804
lookahead_H,1,20324055,150.925000,0.000000,0.000000,193,3.879976,24148,3967,0.164279,3427,2.354053,150,1308238.385066
lookahead_H,1,20331974,145.750000,0.000000,0.000000,184,3.940475,23320,3878,0.166295,3722,2.364142,132,1318594.870937
lookahead_H,1,20339893,149.062500,0.000000,0.000000,205,4.570139,23850,3902,0.163606,3517,2.093902,146,1209464.114896
lookahead_H,1,20347812,146.693750,0.000000,0.000000,181,4.195825,23471,3945,0.168080,3521,2.184885,141,1256001.513095
lookahead_H,1,20355731,151.162500,0.000000,0.000000,179,3.691245,24186,4039,0.166997,3415,2.128202,136,1330858.119824
lookahead_H,1,20363650,148.100000,0.000000,0.000000,203,4.785375,23696,3910,0.165007,3455,1.825960,138,1308409.623310
lookahead_H,1,20371569,149.906250,0.000000,0.000000,185,3.912718,23985,4026,0.167855,3333,1.845987,138,1211546.476495
lookahead_H,1,20379488,152.943750,0.000000,0.000000,195,4.353199,24471,4072,0.166401,3266,2.577282,141,1266182.043709
lookahead_H,1,20387407,147.562500,0.000000,0.000000,190,4.113794,23610,3992,0.169081,3695,2.653862,134,1296864.204825
lookahead_H,1,20395326,150.993750,0.000000,0.000000,200,4.262340,24159,4004,0.165735,3370,2.751665,144,1333971.253632
lookahead_H,1,20403245,146.875000,0.000000,0.000000,167,3.427966,23500,3861,0.164298,3395,2.384050,129,1247713.517478
lookahead_H,1,20411164,149.587500,0.000000,0.000000,199,4.735382,23934,4094,0.171054,3846,4.422648,142,1324801.036639
lookahead_H,2,20260703,151.956250,0.000000,0.000000,1,0.000745,24313,3983,0.163822,840,3.399940,147,1253809.770501
lookahead_H,2,20268622,152.375000,0.000000,0.000000,4,0.101473,24380,3979,0.163208,835,3.282984,137,1323085.382602
lookahead_H,2,20276541,155.912500,0.000000,0.000000,0,0.000000,24946,4098,0.164275,776,2.452870,146,1354788.901899
lookahead_H,2,20284460,152.268750,0.000000,0.000000,4,0.051130,24363,4057,0.166523,849,2.048944,135,1362972.916403
lookahead_H,2,20292379,147.537500,0.000000,0.000000,0,0.000000,23606,3865,0.163730,680,3.422118,124,1227041.175380
lookahead_H,2,20300298,151.481250,0.000000,0.000000,1,0.000221,24237,3946,0.162809,703,3.135431,137,1242634.069832
lookahead_H,2,20308217,151.775000,0.000000,0.000000,4,0.024900,24284,4000,0.164718,799,5.064799,142,1360328.349201
lookahead_H,2,20316136,146.931250,0.000000,0.000000,2,0.023717,23509,3942,0.167680,822,3.416840,141,1252970.112804
lookahead_H,2,20324055,152.068750,0.000000,0.000000,0,0.000000,24331,3961,0.162796,856,3.271271,147,1306738.385066
lookahead_H,2,20331974,149.056250,0.000000,0.000000,1,0.006086,23849,3929,0.164745,815,2.237191,138,1316794.870937
lookahead_H,2,20339893,149.912500,0.000000,0.000000,3,0.030440,23986,3980,0.165930,776,2.115415,149,1207364.114896
lookahead_H,2,20347812,149.631250,0.000000,0.000000,1,0.001507,23941,3909,0.163276,803,2.119563,148,1253901.513095
lookahead_H,2,20355731,152.662500,0.000000,0.000000,1,0.003435,24426,4026,0.164824,814,2.442788,139,1330258.119824
lookahead_H,2,20363650,149.793750,0.000000,0.000000,1,0.032097,23967,3962,0.165311,760,3.412061,145,1307809.623310
lookahead_H,2,20371569,153.193750,0.000000,0.000000,3,0.057966,24511,4027,0.164294,773,2.587871,140,1210046.476495
lookahead_H,2,20379488,154.425000,0.000000,0.000000,1,0.008511,24708,4044,0.163672,757,2.692616,146,1264982.043709
lookahead_H,2,20387407,151.818750,0.000000,0.000000,0,0.000000,24291,4001,0.164711,737,2.263919,138,1294764.204825
lookahead_H,2,20395326,154.362500,0.000000,0.000000,1,0.004984,24698,4144,0.167787,804,2.119698,151,1332771.253632
lookahead_H,2,20403245,148.781250,0.000000,0.000000,0,0.000000,23805,3886,0.163243,747,1.973367,133,1246513.517478
lookahead_H,2,20411164,151.893750,0.000000,0.000000,1,0.015925,24303,4025,0.165617,802,2.241223,147,1323301.036639
lookahead_H,4,20260703,152.206250,0.000000,0.000000,0,0.000000,24353,4132,0.169671,98,2.006350,149,1253509.770501
lookahead_H,4,20268622,152.456250,0.000000,0.000000,0,0.000000,24393,4013,0.164514,88,1.699700,136,1322185.382602
lookahead_H,4,20276541,156.975000,0.000000,0.000000,0,0.000000,25116,4157,0.165512,93,1.603673,148,1354788.901899
lookahead_H,4,20284460,152.787500,0.000000,0.000000,0,0.000000,24446,4073,0.166612,93,2.346996,136,1362972.916403
lookahead_H,4,20292379,150.593750,0.000000,0.000000,0,0.000000,24095,4028,0.167172,81,1.943420,126,1226741.175380
lookahead_H,4,20300298,151.175000,0.000000,0.000000,0,0.000000,24188,4012,0.165867,84,1.702911,142,1242334.069832
lookahead_H,4,20308217,153.918750,0.000000,0.000000,0,0.000000,24627,4090,0.166078,97,1.571036,142,1360328.349201
lookahead_H,4,20316136,149.606250,0.000000,0.000000,0,0.000000,23937,3970,0.165852,104,1.535092,142,1252670.112804
lookahead_H,4,20324055,153.037500,0.000000,0.000000,0,0.000000,24486,4083,0.166748,103,1.926219,154,1306438.385066
lookahead_H,4,20331974,147.568750,0.000000,0.000000,0,0.000000,23611,3968,0.168057,93,1.922127,138,1316794.870937
lookahead_H,4,20339893,152.487500,0.000000,0.000000,0,0.000000,24398,4022,0.164850,81,1.589961,152,1207364.114896
lookahead_H,4,20347812,150.581250,0.000000,0.000000,0,0.000000,24093,4012,0.166521,98,1.883065,150,1254201.513095
lookahead_H,4,20355731,154.506250,0.000000,0.000000,0,0.000000,24721,4101,0.165891,78,1.465158,139,1330258.119824
lookahead_H,4,20363650,151.306250,0.000000,0.000000,0,0.000000,24209,4016,0.165889,83,1.753377,146,1307809.623310
lookahead_H,4,20371569,152.662500,0.000000,0.000000,0,0.000000,24426,4086,0.167281,99,2.206183,141,1210046.476495
lookahead_H,4,20379488,154.106250,0.000000,0.000000,0,0.000000,24657,4097,0.166160,87,2.011870,151,1264682.043709
lookahead_H,4,20387407,149.612500,0.000000,0.000000,0,0.000000,23938,4079,0.170399,87,2.233750,144,1294164.204825
lookahead_H,4,20395326,155.418750,0.000000,0.000000,0,0.000000,24867,4237,0.170386,88,1.966648,157,1332171.253632
lookahead_H,4,20403245,148.737500,0.000000,0.000000,0,0.000000,23798,3919,0.164678,96,3.239099,137,1246513.517478
lookahead_H,4,20411164,153.431250,0.000000,0.000000,0,0.000000,24549,4102,0.167094,99,4.048484,149,1323301.036639
