parameter,value,cost_mean,cost_sd,violation_rate_mean,violation_rate_sd,exhaustions_mean,exhaustions_sd,throttled_vm_hours_mean,throttled_vm_hours_sd,bound_exceedance_rate_mean,bound_exceedance_rate_sd
interval_seconds,60,164.778625,3.694672,0.000000,0.000000,207.200000,17.068284,9.000611,0.511738,0.171244,0.002599
interval_seconds,300,151.391875,2.308896,0.000000,0.000000,1.450000,1.394538,0.018157,0.026377,0.164649,0.001471
interval_seconds,900,160.306875,2.153069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128021,0.003397
lookahead_H,1,148.875625,2.347102,0.000000,0.000000,189.750000,10.691241,4.210485,0.335199,0.167074,0.001897
lookahead_H,2,151.391875,2.308896,0.000000,0.000000,1.450000,1.394538,0.018157,0.026377,0.164649,0.001471
lookahead_H,4,152.158750,2.315489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166762,0.001713
epsilon,0.01,152.191875,2.152454,0.000000,0.000000,0.150000,0.366348,0.001621,0.004764,0.054336,0.001816
epsilon,0.05,151.391875,2.308896,0.000000,0.000000,1.450000,1.394538,0.018157,0.026377,0.164649,0.001471
epsilon,0.10,151.511250,2.695432,0.000000,0.000000,3.050000,1.986136,0.036404,0.034345,0.259815,0.003170
lateness_lambda,10,151.391875,2.308896,0.000000,0.000000,1.450000,1.394538,0.018157,0.026377,0.164649,0.001471
lateness_lambda,100,151.391875,2.308896,0.000000,0.000000,1.450000,1.394538,0.018157,0.026377,0.164649,0.001471
lateness_lambda,1000,151.391875,2.308896,0.000000,0.000000,1.450000,1.394538,0.018157,0.026377,0.164649,0.001471
