stress,policy,seed,cost_usd,violation_rate,total_lateness_seconds,credit_exhaustions,throttled_vm_hours,robust_bound_evaluations,robust_bound_exceedances,bound_exceedance_rate,migrations,scheduler_runtime_seconds,maximum_vms,makespan_seconds
LIGHT,"HEFT",20260703,121.931250,0.500000,304555.015135,85,445.207388,19509,17036,0.873238,0,1.079260,37,1283209.770501
LIGHT,"KRP",20260703,121.375000,1.000000,25787726.471567,49,1362.929795,19420,19090,0.983007,0,3.408472,35,3383209.770501
LIGHT,"CCS",20260703,121.393750,1.000000,24826673.444694,67,1342.339614,19423,18250,0.939608,0,2.686916,41,3344809.770501
LIGHT,"CARS",20260703,116.075000,0.000000,0.000000,241,8.823866,18572,15647,0.842505,1843,1.177267,114,1254109.770501
LIGHT,"UBR-CA no migration",20260703,123.662500,0.000000,0.000000,190,89.002283,19786,4111,0.207773,0,1.113132,115,1254409.770501
LIGHT,"UBR-CA",20260703,126.918750,0.000000,0.000000,4,0.025017,20307,3875,0.190821,782,0.889936,116,1253509.770501
LIGHT,"HEFT",20268622,119.456250,0.500000,300996.177535,183,581.053214,19113,17231,0.901533,0,1.036706,38,1483885.382602
LIGHT,"KRP",20268622,122.381250,1.000000,25540076.593335,49,1348.379284,19581,19144,0.977682,0,2.939304,37,3430885.382602
LIGHT,"CCS",20268622,122.475000,1.000000,24589113.284228,52,1328.638924,19596,18114,0.924372,0,3.291743,42,3392485.382602
LIGHT,"CARS",20268622,116.868750,0.000000,0.000000,236,7.078604,18699,15612,0.834911,1707,2.008856,104,1323085.382602
LIGHT,"UBR-CA no migration",20268622,124.225000,0.000000,0.000000,180,86.145574,19876,4048,0.203663,0,1.294659,106,1323685.382602
LIGHT,"UBR-CA",20268622,130.493750,0.000000,0.000000,6,0.030697,20879,3873,0.185497,720,1.173077,105,1322185.382602
LIGHT,"HEFT",20276541,119.487500,0.500000,283359.890680,277,709.515562,19118,17648,0.923109,0,1.016628,39,1658688.901899
LIGHT,"KRP",20276541,124.093750,1.000000,24755702.421167,44,1367.824058,19855,19501,0.982171,0,3.612031,37,3456888.901899
LIGHT,"CCS",20276541,124.125000,1.000000,23840909.331448,52,1349.457881,19860,18412,0.927090,0,4.227315,43,3420588.901899
LIGHT,"CARS",20276541,119.375000,0.000000,0.000000,241,7.898049,19100,16043,0.839948,1703,1.741746,112,1355088.901899
LIGHT,"UBR-CA no migration",20276541,126.506250,0.000000,0.000000,185,88.487910,20241,4183,0.206660,0,1.258522,111,1354488.901899
LIGHT,"UBR-CA",20276541,132.175000,0.000000,0.000000,2,0.028057,21148,3923,0.185502,735,1.151620,114,1354488.901899
LIGHT,"HEFT",20284460,123.256250,0.500000,264977.745738,181,489.662881,19721,17207,0.872522,0,1.734133,39,1458072.916403
LIGHT,"KRP",20284460,122.950000,1.000000,26008452.842045,41,1349.359917,19672,19105,0.971177,0,4.677994,38,3524172.916403
LIGHT,"CCS",20284460,122.800000,1.000000,25180526.283518,50,1331.744492,19648,18124,0.922435,0,3.274418,43,3487572.916403
LIGHT,"CARS",20284460,116.637500,0.000000,0.000000,219,6.949284,18662,15542,0.832815,1694,2.127181,105,1364172.916403
LIGHT,"UBR-CA no migration",20284460,125.943750,0.000000,0.000000,192,93.116583,20151,4103,0.203613,0,1.371958,110,1362972.916403
LIGHT,"UBR-CA",20284460,129.350000,0.000000,0.000000,6,0.063818,20696,3877,0.187331,738,1.317822,105,1362972.916403
LIGHT,"HEFT",20292379,117.837500,0.500000,354452.879848,174,496.268962,18854,16934,0.898165,0,1.368893,34,1308341.175380
LIGHT,"KRP",20292379,119.900000,1.000000,27647563.356795,47,1360.174522,19184,18942,0.987385,0,4.083211,33,3485141.175380
LIGHT,"CCS",20292379,120.025000,1.000000,26724669.550569,57,1344.185010,19204,18297,0.952770,0,2.713440,38,3453041.175380
