"Stress","Method","Cost (USD)","Violations (%)","Exhaustions"
"LIGHT","HEFT","119.377 ± 2.711","50.33 ± 1.49","179.90 ± 59.14"
"LIGHT","KRP","121.090 ± 1.870","100.00 ± 0.00","53.40 ± 10.53"
"LIGHT","CCS","121.131 ± 1.880","100.00 ± 0.00","60.90 ± 9.90"
"LIGHT","CARS","116.235 ± 1.708","0.00 ± 0.00","236.85 ± 15.18"
"LIGHT","UBR-CA no migration","123.212 ± 2.429","0.00 ± 0.00","181.40 ± 10.99"
"LIGHT","UBR-CA","127.890 ± 2.579","0.00 ± 0.00","4.15 ± 1.63"
"MODERATE","HEFT","146.065 ± 2.867","67.33 ± 22.15","574.60 ± 210.69"
"MODERATE","KRP","161.993 ± 2.342","100.00 ± 0.00","67.75 ± 5.53"
"MODERATE","CCS","170.487 ± 3.022","100.00 ± 0.00","84.15 ± 7.35"
"MODERATE","CARS","149.651 ± 2.638","0.00 ± 0.00","169.55 ± 8.52"
"MODERATE","UBR-CA no migration","146.209 ± 2.372","0.00 ± 0.00","242.80 ± 12.23"
"MODERATE","UBR-CA","151.392 ± 2.309","0.00 ± 0.00","1.45 ± 1.39"
"HEAVY","HEFT","168.960 ± 2.247","70.00 ± 19.26","291.95 ± 66.96"
"HEAVY","KRP","185.722 ± 3.645","100.00 ± 0.00","99.65 ± 13.94"
"HEAVY","CCS","178.628 ± 2.626","100.00 ± 0.00","245.55 ± 21.05"
"HEAVY","CARS","169.904 ± 2.919","0.00 ± 0.00","152.55 ± 11.83"
"HEAVY","UBR-CA no migration","163.696 ± 2.505","0.00 ± 0.00","344.80 ± 18.59"
"HEAVY","UBR-CA","170.897 ± 2.654","0.00 ± 0.00","0.55 ± 0.83"
