"Parameter","Value","Cost (USD)","Bound exceedance (%)","Throttled VM-hours"
"Delta t (s)","60","164.779 ± 3.695","17.12 ± 0.26","9.001 ± 0.512"
"Delta t (s)","300","151.392 ± 2.309","16.46 ± 0.15","0.018 ± 0.026"
"Delta t (s)","900","160.307 ± 2.153","12.80 ± 0.34","0.000 ± 0.000"
"H","1","148.876 ± 2.347","16.71 ± 0.19","4.210 ± 0.335"
"H","2","151.392 ± 2.309","16.46 ± 0.15","0.018 ± 0.026"
"H","4","152.159 ± 2.315","16.68 ± 0.17","0.000 ± 0.000"
"epsilon","0.01","152.192 ± 2.152","5.43 ± 0.18","0.002 ± 0.005"
"epsilon","0.05","151.392 ± 2.309","16.46 ± 0.15","0.018 ± 0.026"
"epsilon","0.10","151.511 ± 2.695","25.98 ± 0.32","0.036 ± 0.034"
"lambda","10","151.392 ± 2.309","16.46 ± 0.15","0.018 ± 0.026"
"lambda","100","151.392 ± 2.309","16.46 ± 0.15","0.018 ± 0.026"
"lambda","1000","151.392 ± 2.309","16.46 ± 0.15","0.018 ± 0.026"
